50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210	215	220	225	230	235	240	245	250
3.4867	3.189	3.6244	4.2238	5.2032	6.318	7.2255	7.7073	7.6921	7.3013	6.7814	6.3121	5.8742	5.467	5.1445	4.929	4.632	4.4403	4.2724	4.1365	3.8924	3.6845	3.5677	3.4295	3.2925	3.2099	3.1538	3.077	2.9783	2.9505	2.8652	2.8212	2.7707	2.7111	2.7254	2.6791	1.9023	1.8767	1.8526	1.8072	1.7279
50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210	215	220	225	230	235	240	245	250
7.9379	4.7719	5.6148	6.116	6.8461	6.7423	7.3803	7.2821	6.939	6.4845	6.0583	5.7066	5.4641	5.3018	5.1538	4.967	4.5616	4.0444	3.5888	3.257	3.0431	2.8864	2.7463	2.6421	2.5993	2.5348	2.4661	2.416	2.3482	2.2609	2.1776	2.1049	2.0708	2.0492	2.0057	1.9566	1.8964	1.839	1.7899	1.7585	1.7173
NaN	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210	215	220	225	230	235	240	245	250
NaN	4.7719	5.6148	6.116	6.8461	6.7423	7.3803	7.2821	6.939	6.4845	6.0583	5.7066	5.4641	5.3018	5.1538	4.967	4.5616	4.0444	3.5888	3.257	3.0431	2.8864	2.7463	2.6421	2.5993	2.5348	2.4661	2.416	2.3482	2.2609	2.1776	2.1049	2.0708	2.0492	2.0057	1.9566	1.8964	1.839	1.7899	1.7585	1.7173
NaN	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210	215	220	225	230	235	240	245	250
NaN	4.7719	5.6148	6.116	6.8461	6.7423	7.3803	7.2821	6.939	6.4845	6.0583	5.7066	5.4641	5.3018	5.1538	4.967	4.5616	4.0444	3.5888	3.257	3.0431	2.8864	2.7463	2.6421	2.5993	2.5348	2.4661	2.416	2.3482	2.2609	2.1776	2.1049	2.0708	2.0492	2.0057	1.9566	1.8964	1.839	1.7899	1.7585	1.7173
NaN	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210	215	220	225	230	235	240	245	250
NaN	4.7719	5.6148	6.116	6.8461	6.7423	7.3803	7.2821	6.939	6.4845	6.0583	5.7066	5.4641	5.3018	5.1538	4.967	4.5616	4.0444	3.5888	3.257	3.0431	2.8864	2.7463	2.6421	2.5993	2.5348	2.4661	2.416	2.3482	2.2609	2.1776	2.1049	2.0708	2.0492	2.0057	1.9566	1.8964	1.839	1.7899	1.7585	1.7173
NaN	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210	215	220	225	230	235	240	245	250
NaN	4.7719	5.6148	6.116	6.8461	6.7423	7.3803	7.2821	6.939	6.4845	6.0583	5.7066	5.4641	5.3018	5.1538	4.967	4.5616	4.0444	3.5888	3.257	3.0431	2.8864	2.7463	2.6421	2.5993	2.5348	2.4661	2.416	2.3482	2.2609	2.1776	2.1049	2.0708	2.0492	2.0057	1.9566	1.8964	1.839	1.7899	1.7585	1.7173
