50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210	215	220	225	230	235	240	245	250
3.4867	3.189	3.6244	4.2238	5.2032	6.318	7.2255	7.7073	7.6921	7.3013	6.7814	6.3121	5.8742	5.467	5.1445	4.929	4.632	4.4403	4.2724	4.1365	3.8924	3.6845	3.5677	3.4295	3.2925	3.2099	3.1538	3.077	2.9783	2.9505	2.8652	2.8212	2.7707	2.7111	2.7254	2.6791	1.9023	1.8767	1.8526	1.8072	1.7279
50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210	215	220	225	230	235	240	245	250
0.34742	0.22244	0.20354	0.19598	0.18626	0.17224	0.17983	0.17616	0.17558	0.17328	0.17029	0.17174	0.17212	0.17245	0.17722	0.17483	0.17153	0.16713	0.17277	0.17425	0.17119	0.17065	0.17478	0.1719	0.17238	0.17432	0.17409	0.17749	0.17085	0.17172	0.17708	0.17227	0.1723	0.17295	0.17238	0.17641	0.17789	0.17516	0.17287	0.17394	0.17779
50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210	215	220	225	230	235	240	245	250
0.34742	0.22244	0.20354	0.19598	0.18626	0.17224	0.17983	0.17616	0.17558	0.17328	0.17029	0.17174	0.17212	0.17245	0.17722	0.17483	0.17153	0.16713	0.17277	0.17425	0.17119	0.17065	0.17478	0.1719	0.17238	0.17432	0.17409	0.17749	0.17085	0.17172	0.17708	0.17227	0.1723	0.17295	0.17238	0.17641	0.17789	0.17516	0.17287	0.17394	0.17779
50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210	215	220	225	230	235	240	245	250
6.5587	3.998	4.6243	5.2695	5.8829	5.5655	6.4064	6.2673	6.0399	5.6809	5.3422	5.0658	4.8435	4.6778	4.5185	4.304	3.948	3.4764	3.0454	2.7403	2.514	2.3522	2.2457	2.2017	2.1739	2.1108	2.0705	2.0497	1.9875	1.909	1.8384	1.7557	1.701	1.6664	1.6279	1.5859	1.5354	1.4929	1.4607	1.434	1.3856
50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210	215	220	225	230	235	240	245	250
6.5587	3.998	4.6243	5.2695	5.8829	5.5655	6.4064	6.2673	6.0399	5.6809	5.3422	5.0658	4.8435	4.6778	4.5185	4.304	3.948	3.4764	3.0454	2.7403	2.514	2.3522	2.2457	2.2017	2.1739	2.1108	2.0705	2.0497	1.9875	1.909	1.8384	1.7557	1.701	1.6664	1.6279	1.5859	1.5354	1.4929	1.4607	1.434	1.3856
50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210	215	220	225	230	235	240	245	250
6.5587	3.998	4.6243	5.2695	5.8829	5.5655	6.4064	6.2673	6.0399	5.6809	5.3422	5.0658	4.8435	4.6778	4.5185	4.304	3.948	3.4764	3.0454	2.7403	2.514	2.3522	2.2457	2.2017	2.1739	2.1108	2.0705	2.0497	1.9875	1.909	1.8384	1.7557	1.701	1.6664	1.6279	1.5859	1.5354	1.4929	1.4607	1.434	1.3856
50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160	165	170	175	180	185	190	195	200	205	210	215	220	225	230	235	240	245	250
